URLs,Reservations Open,Fully Booked,Available Hotels,Error Message
https://book.passkey.com/gt/220185083?gtid=7f9773652633a7deb1d421cf34718a4c,Yes,No,2,
https://book.passkey.com/gt/219147750?gtid=2cad93d82c82e5ed81a41efae53d238f,Yes,Yes,,
https://book.passkey.com/go/EDCLV2025,Yes,No,45,
https://book.passkey.com/go/SHUNL5,Yes,No,2,
https://book.passkey.com/go/ATTA2025,Yes,No,1,
https://book.passkey.com/event/50760566/owner/17635/home?lang=en_US,No,,,
https://book.passkey.com/event/50859522/owner/49527047/home,Yes,No,1,
https://book.passkey.com/go/IPCE2024,No,,,
https://book.passkey.com/e/50748968,No,,,
https://book.passkey.com/e/50699171,No,,,
https://book.passkey.com/go/ISS2025,Yes,No,2,
https://book.passkey.com/go/SPICR5,Yes,No,1,
https://book.passkey.com/event/50650481/owner/50168607/home,No,,,
https://book.passkey.com/event/50830934/owner/3623455/home,No,,,
https://book.passkey.com/go/Shoptalk2024FallMeetup,Yes,No,1,
https://book.passkey.com/e/50882640,Yes,No,1,
https://book.passkey.com/event/50691629/owner/22799/home,Yes,No,1,
https://book.passkey.com/event/50444929/owner/10756/landing,No,,,
https://book.passkey.com/event/50799011/owner/3453/home,Yes,No,1,
https://book.passkey.com/e/50808077,Yes,Yes,,
https://book.passkey.com/event/50729925/owner/14793349/home,No,,,
https://book.passkey.com/go/SytelineUserNetwork2025,Yes,No,1,
https://book.passkey.com/go/GannonUniversityRoomBlock,No,,,
https://book.passkey.com/go/MFVExpositionsMoxy,No,,,
https://book.passkey.com/go/SLUE3R,No,,,
https://book.passkey.com/go/SLRS4R,Yes,No,1,
https://book.passkey.com/event/50650481/owner/50168607/home,No,,,
https://book.passkey.com/go/ICMI2024,Yes,No,2,
https://book.passkey.com/gt/219531068?gtid=50c45595a0e444db51d924c1632b510c,No,,,
https://book.passkey.com/e/50863000,Yes,No,1,
https://book.passkey.com/event/50767769/owner/10215024/home,Yes,Yes,,
https://book.passkey.com/event/50888488/owner/502/rooms/list?sort=default,Yes,No,4,
https://book.passkey.com/event/50831589/owner/863/home,Yes,No,1,
https://book.passkey.com/e/50853380,Yes,Yes,,
https://book.passkey.com/e/50849337,No,,,
https://book.passkey.com/event/50691473/owner/14419593/home,Yes,Yes,,
https://book.passkey.com/event/50754144/owner/26124/home,No,,,
https://book.passkey.com/event/50874948/owner/49785631/home?utm_campaign=295100048,Yes,No,1,
https://book.passkey.com/e/50777727,Yes,No,1,
https://book.passkey.com/gt/220226696?gtid=2ad178ff49423619e89774ee20421815,Yes,No,1,
https://book.passkey.com/go/ECK2024,Yes,No,Based,
https://book.passkey.com/go/LuckyLeafExpo,Yes,No,1,
https://book.passkey.com/event/50509951/owner/761/home,No,,,
https://book.passkey.com/go/IMTCattendee,No,,,
https://book.passkey.com/gt/219016398?gtid=e9103113974fd7360d352a795d72908c,Yes,No,1,
https://book.passkey.com/e/50777220,Yes,No,1,
https://book.passkey.com/go/SPNCC2024,Yes,No,1,
https://book.passkey.com/go/G8Tour2025,Yes,No,1,
https://book.passkey.com/event/50694822/owner/18553/home,Yes,Yes,,
https://book.passkey.com/go/24IFMA,Yes,No,0,
https://book.passkey.com/e/50711271,No,,,
https://book.passkey.com/event/50573361/owner/28588/landing,No,,,
https://book.passkey.com/gt/219544887?gtid=6e72d5f8b5dedd356d04f73fdc4e5a39,No,,,
https://book.passkey.com/event/50788589/owner/3416832/home,Yes,No,4,
https://book.passkey.com/go/SAE25,Yes,No,1,
https://book.passkey.com/event/50801741/owner/9554174/landing,Yes,No,13,
https://book.passkey.com/event/50761187/owner/249/home,Yes,Yes,,
https://book.passkey.com/event/50797088/owner/2497/home,Yes,No,1,
https://book.passkey.com/e/50701909,No,,,
https://book.passkey.com/e/50737887,Yes,No,1,
https://book.passkey.com/gt/219835757?gtid=81c968212f004b1b1c40c2fcd61fbd21,Yes,No,1,
https://book.passkey.com/gt/219835749?gtid=fd891b0791df12785afdd8885ecb41df,Yes,No,1,
https://book.passkey.com/event/50864798/owner/1457541/home,Yes,No,1,
https://book.passkey.com/event/50689501/owner/7268/home,No,,,
https://book.passkey.com/event/50726358/owner/12511619/home?&mode=find-res,No,,,
https://book.passkey.com/go/MTS2025,Yes,No,1,
https://book.passkey.com/go/FierceBiotech2024,No,,,
https://book.passkey.com/gt/219589121?gtid=8a8fad5fe7e0d376feba8e873f6a6c75,Yes,No,2,
https://book.passkey.com/gt/219646669?gtid=e092f093b64cfdbb30873245307ef14b,No,,,
https://book.passkey.com/go/SCCC2024,No,,,
https://book.passkey.com/go/NostalgiaCon24,Yes,Yes,,
https://book.passkey.com/go/SCNDS5,Yes,No,1,
https://book.passkey.com/go/SCAMA4,Yes,No,1,
https://book.passkey.com/go/SCBRI4,Yes,No,1,
https://book.passkey.com/go/SCNAM4,Yes,Yes,,
https://book.passkey.com/go/SCNAI4,Yes,No,1,
https://book.passkey.com/go/SCFCD4,Yes,No,1,
https://book.passkey.com/go/SCFDC4,Yes,No,1,
https://book.passkey.com/event/50664746/owner/563/home,No,,,
https://book.passkey.com/go/CiscoLive2024,No,,,
https://book.passkey.com/event/50716050/owner/684/home,Yes,No,1,
https://book.passkey.com/event/50787022/owner/12564/home,Yes,No,1,
https://book.passkey.com/go/NWTF2025Attendees,Yes,No,1,
https://book.passkey.com/gt/219593977?gtid=4d44c1010d8adaf10da75852763bb98b,Yes,Yes,,
https://book.passkey.com/e/50860769,Yes,No,1,
https://book.passkey.com/event/50748814/owner/5590/home,Yes,No,1,
https://book.passkey.com/go/castarball2024,Yes,No,1,
https://book.passkey.com/gt/219718535?gtid=999fb5508aac448c7f703f7d6bec7788,No,,,
https://book.passkey.com/gt/219523500?gtid=75fbfd1b04f56b627241c097b218a798,No,,,
https://book.passkey.com/gt/220099426?gtid=c939a9458f703c830f3503a556bb7d90,Yes,No,1,
https://book.passkey.com/go/SPWEI4,Yes,No,2,
https://book.passkey.com/go/STMRA4,Yes,No,1,
https://book.passkey.com/go/SHJ0H4,Yes,No,1,
https://book.passkey.com/e/50827096,Yes,No,1,
https://book.passkey.com/go/SHOTSHOW2025,Yes,No,1,
https://book.passkey.com/event/50819711/owner/6708/landing,Yes,No,1,
https://book.passkey.com/event/50748297/owner/14227/home,No,,,
https://book.passkey.com/go/2024ASSEMBLY,Yes,No,3,
https://book.passkey.com/event/50807735/owner/107/landing,Yes,No,1,
https://book.passkey.com/go/IBIE2025,Yes,No,1,
https://book.passkey.com/gt/219735071?gtid=920182c349b4be599721f670ec4cc0c5&index=91,Yes,No,1,
https://book.passkey.com/event/50875535/owner/56365/home,Yes,No,1,
https://book.passkey.com/event/50506125/owner/16066798/home,Yes,No,1,
https://book.passkey.com/event/50812505/owner/250/landing,No,,,
https://book.passkey.com/go/1124STPA001,Yes,Yes,,
https://book.passkey.com/event/50849651/owner/2075/home,Yes,Yes,,
